Suç ve Ceza | Roman, başkahramanı Raskolnikov’un iç çatışmalarını ve etrafındaki dünya ile olan çatışmalarını anlatır.
Suç ve Ceza | Raskolnikov, çaresiz bir durumda olup, düşük bir sınıfta yaşamaktadır ve acımasız bir dedektifin peşine düşmüştür.
Suç ve Ceza | Roman, Raskolnikov'un suçunu işledikten sonra yaşadığı vicdan azabı ve pişmanlığını detaylı bir şekilde anlatır.
Suç ve Ceza | Daha sonra Suç ve Ceza’da en parlak biçimde dile hayatın trajik yanlarına karşı duyduğu büyük ilgi ve duyarlılık, daha bu ilk yapıtlarında kendini göstermeye başlamıştır.
Suç ve Ceza | Prestuplenie i Nakazanie (Suç ve Ceza), Igrok (Kumarbaz), Idiot (Budala), Besi (Cinler), Podrostok (Delikanlı), Bratya Karamazovi (Karamazov Kardeşler) vd.
Suç ve Ceza | Suç ve Ceza, 1866 yılında yayımlandı. Çok önemli toplumsal olayların, moral sarsıntıların yaşandığı bir dönemdir bu. Romanın konusu çağdaş Rusya’dır.
Suç ve Ceza | Romanın konusu çağdaş Rusya’dır. Kahraman çağdaştır, o yılların bütün acılarını, yaralarını içinde taşıyan genç bir öğrencidir.
Araba Sevdası | Bulgurlu'da esen rüzgar, Bihruz'un Periveş'e olan hislerini daha da kuvvetlendirdi.
Araba Sevdası | Keşfi Bey, Bihruz'un iş teklifini değerlendirirken oldukça dikkatliydi.
Araba Sevdası | Çamlıca'da Periveş, Bihruz'a karşı hislerini saklayamıyordu.
Bozkurtların Ölümü | Kineş, kabile meclisinde konuşma yaptı.
Bozkurtların Ölümü | Yargu, adaleti sağlamak için zor kararlar aldı.
Bozkurtların Ölümü | Çalık, atlarını sularken düşüncelere dalmıştı.
Bozkurtların Ölümü | Çalık İş Ardında, kervanın güvenliğini sağlamakla görevlendirilmişti.
Bozkurtların Ölümü | Onbaşı Pars, düşman izlerini takip ediyordu.
Araba Sevdası | Kısıklı parkında Bihruz, Keşfi ile derin bir sohbete dalmıştı.
Araba Sevdası | Mösyö Piyer, Bihruz'un dil öğrenme sürecinden memnun kalmış bir şekilde dersi sonlandırdı.
Suç ve Ceza | Dostoyevski 1865 yılında M.N. Katkov’a yazdığı bir mektupta bu durumu “…olaylar günümüzde geçiyor, yani şu bulunduğumuz yıl içinde” diyerek belirtmektedir.
Suç ve Ceza | Yazarın kendisi için de çok güç yıllardır romanı yazdığı yıllar. Büyük yalnızlıkları yaşamak, çok zor kararlar almak zorunda kaldığı yıllardır.
Suç ve Ceza | Dostoyevski her iki Petersburg’u da iyi biliyordu. Mühendislik okulunda okuduğu yıllarda, Yazlık Bahçe yakınında bir saraydı okulun yapısı, saray Petersburg’unu tanıma 
Suç ve Ceza | Raskolnikov’un felsefi teorisinin analizi ile birlikte verilmiştir romanda. Bu durum Dostoyevski’ye döneminin düşünsel ve ahlaki yalpalamalarını, özellikle de kentlerdeki her 
Suç ve Ceza | Raskolnikov akıllı, aydın, dürüst bir gençtir. Eski bir Petersburg evinin bir dolabı andırır küçücük çatı bölmesinde oturmaktadır. Çevresindeki yoksulların yaşamını 
Faust | Faust, bilim ve felsefe alanında derinlemesine bilgi sahibidir.
Faust | Mephisto, Faust'a ruhunu teslim etmesi karşılığında ona hayatının aşkını sunar.
Faust | Faust, Mephisto'nun teklifini anın tutkusuyla kabul eder.
Faust | Margaretha, yirmi beş yaşında saf bir kızdır.
Faust | Mephisto, Margaretha'ya aşk içkisini içirerek onu Faust'a âşık eder.
Faust | Faust'un içindeki ilahi olana dair şüpheler vardır.
Faust | Faust, gençlik ve olgunluk çağını yeryüzünün sırlarını çözmek için harcamıştır.
Faust | Margaretha, Faust'un önerisiyle annesini zehirleyerek öldürür.
Faust | Faust, Mephisto'yu köpeğin içine girdiğinde fark eder.
Faust | Mephisto, Faust'u bu sıkılmış hayattan kurtaracağını söyler.
Suç ve Ceza | Raskolnikov’un bulduğu kurtuluş yolu şudur: Hem kendine, hem de herkese, tarihteki öteki “olağanüstü” insanlar gibi olduğunu, “sıradan” insanların, basit halkın dokunulmaz 
Suç ve Ceza | Raskolnikov tasarladığı cinayeti işler. Ancak giriştiği trajik “deney” hiç de onun beklediği sonuçları vermez.
Suç ve Ceza | Raskolnikov’un sevdiği kızın ağzından duyduğu gerçek bambaşkadır: Yanlışlık temeldedir, “olağanüstü” insanlar teorisidir yanlış olan.
Suç ve Ceza | Raskolnikov kendi deyimiyle, insanlık dışı düzene karşı, böyle bir başkaldırının da insanlık dışı bir nitelik taşıdığını, bunun ilerleme ve gelişme sağlayıcı hiçbir özelliği 
Suç ve Ceza | Raskolnikov tasarladığı cinayeti işler. Ancak giriştiği trajik “deney” hiç de onun beklediği sonuçları vermez.
Araba Sevdası | Keşfi Bey, Bihruz'a yatırım tavsiyesinde bulunurken oldukça ciddiydi.
Araba Sevdası | Mösyö Piyer, ders esnasında Bihruz'un dikkatinin dağıldığını fark etti.
Araba Sevdası | Bihruz'un annesi, evin önündeki bahçede çiçekleri sularken komşularla sohbet ediyordu.
Araba Sevdası | Periveş'in gözleri, Bihruz'la ilk kez göz göze geldiklerinde parladı.
Bozkurtların Ölümü | Bağatur Şad, klanının en cesur savaşçılarından biriydi.
Bozkurtların Ölümü | Kara Kağan, düşman topraklarına göz dikmişti.
Bozkurtların Ölümü | Ötüken’in Keskin Nişancısı, okunu çekti ve hedefini gözlerine kilitlemişti.
Bozkurtların Ölümü | Tüng Yabgu Kağan'ın Elçileri, barış mesajı ile komşu kabileyi ziyaret etti.
Bozkurtların Ölümü | Onbaşı Sançar, askerlerini savaşa hazırlıyordu.
Faust | Faust, gençliğinde sahip olduğu huzuru artık kaybetmiştir.
Faust | Faust, Tanrı’ya meydan okuyan bir insandır.
Faust | Faust, şeytanla yaptığı anlaşma sonrası içsel bir savaşa girer.
Faust | Faust, bilimin sınırlarını zorlayan bir karakterdir.
Faust | Mephistofeles, Faust’un ruhunu almak için çeşitli yollar dener.
Faust | Faust, Tanrı ve şeytan arasındaki savaşın bir parçasıdır.
Faust | Faust, ilahi olana dair şüphelerle doludur.
Faust | Faust, gençliğinde sahip olduğu huzuru geri kazanmak ister.
Faust | Mephistofeles, Faust’a hayatının aşkını sunacağını söyler.
Faust | Margaretha, Faust’un etkisiyle annesini öldürür.
Faust | Faust, Tanrı ile şeytan arasındaki savaşın ortasında kalır.
Faust | Faust, çekingen mizaçlı ama içten içe huzursuz bir insandır.
Faust | Mephistofeles, Faust’u yoldan çıkarmak için çeşitli yöntemler kullanır.
Faust | Faust, Tanrı’ya meydan okuyan bir insandır.
Beyaz Zambaklar Ülkesinde | Kitap, Finlandiya'nın gelişimini ve aydınların rolünü anlatır.
Beyaz Zambaklar Ülkesinde | Mustafa Kemal Atatürk, kitabı Türkçeye çevirterek okullarda okutulmasını istedi.
Beyaz Zambaklar Ülkesinde | Finlandiya'da Johan Wilhelm Snelman, kültürel gelişimi teşvik eden önemli bir figürdür.
Beyaz Zambaklar Ülkesinde | Snelman, öğretmenleri halka bilgi aktarmaları için motive etti.
Beyaz Zambaklar Ülkesinde | Rus Çarı, Fin halkına haklarını iade ederek kültürel gelişimlerini destekledi.
Beyaz Zambaklar Ülkesinde | Snelman, öğretmenleri işlerini iyi yapmaları konusunda teşvik etti.
Beyaz Zambaklar Ülkesinde | Kitap, Finlandiya'nın bataklık ve kayalıklardan tarıma geçişini anlatır.
Beyaz Zambaklar Ülkesinde | Finlandiya'da subaylar, askerleri iyi bireyler olarak yetiştirmeye çalıştı.
Beyaz Zambaklar Ülkesinde | Din adamları, halkı motive ederek manevi değerlerin korunmasını sağladı.
Beyaz Zambaklar Ülkesinde | Finlandiya'nın gelişimi, aydınların ve öğretmenlerin çabalarıyla gerçekleşti.
Beyaz Zambaklar Ülkesinde | Snelman, aydınlara halka üstten bakmamalarını öğütledi.
Faust | Faust, şeytanla yaptığı anlaşma sonrası içsel bir savaşa girer.
Faust | Faust, bilimin sınırlarını zorlayan bir karakterdir.
Faust | Mephistofeles, Faust’un ruhunu almak için çeşitli yollar dener.
Faust | Faust, Tanrı ve şeytan arasındaki savaşın bir parçasıdır.
Faust | Faust, ilahi olana dair şüphelerle doludur.
Faust | Faust, gençliğinde sahip olduğu huzuru geri kazanmak ister.
Araba Sevdası | Keşfi Bey, Bihruz ile buluşmak üzere Çamlıca'ya doğru yola çıktı.
Araba Sevdası | Bulgurlu meydanında Bihruz, Periveş'i görmek için sabırsızlanıyordu.
Araba Sevdası | Çamlıca tepelerinde Bihruz, Keşfi'yle gelecek planları yaparken oldukça heyecanlıydı.
Araba Sevdası | Kısıklı kafesinde Bihruz ve Periveş tesadüfen karşılaştıklarında ikisi de şaşkına dönmüştü.
Araba Sevdası | Mösyö Piyer, Bihruz'a Fransız edebiyatından bazı önemli eserler önerdi.
Araba Sevdası | Bihruz'un annesi, oğlunun geç saatte eve gelmesi konusunda endişeleniyordu.
Faust | Faust, memleketi dolaşıp en güzel içkileri tatmak ister.
Faust | Margaretha, Faust tarafından çocuğunu boğar.
Faust | Margaretha ve Faust arasındaki ilişki, şeytanın müdahalesiyle başlar.
Faust | Faust, felsefe ve tıpta uzmanlaşmış bir doktordur.
Faust | Faust, Mephisto'nun teklifini kabul ettikten sonra maceraları başlar.
Faust | Margaretha, saçma sapan planlar peşindedir.
Faust | Margaretha'nın erkek kardeşi, Faust'a düşmanlık besler.
Faust | Faust, kız kardeşini öldürür ve Margaretha hapse atılır.
Faust | Johann Faust'un hayatı, birçok edebi esere ilham kaynağı olmuştur.
Faust | Faust adlı oyun, Goethe'nin dünya klasikleri arasında önemli bir yer tutan eseridir.
Suç ve Ceza | Ve sonuç olarak içinde yaşadıkları toplumdaki egemen sınıfların her gün sayısız kez yaptıklarından pek de farklı bir şey değildir onun yaptığı da.
Suç ve Ceza | Raskolnikov. Eyleminden dolayı ahlaken yalnızca kendi kendisine karşı sorumlu olduğu, başkalarının yargılarının hiç önemli olmadığı düşüncesi iflas etmiştir.
Suç ve Ceza | Dostoyevski’nin büyük bir ustalıkla dile getirdiği gibi
Suç ve Ceza | Raskolnikov’un cinayetten sonra derin acılar içinde toplumdan kopmuşluk duygusunu yaşamasının nedeni budur.
Bozkurtların Ölümü | Onbaşı Pars, düşman izlerini takip ediyordu.
Bozkurtların Ölümü | Çaşıt, okçuluk becerilerini sergiliyordu.
Bozkurtların Ölümü | Budun Kızgın, haksızlığa uğradığını düşünerek kabile liderine itiraz etti.
Bozkurtların Ölümü | Akın, düşman kampına gizlice sızmayı planladı.
Bozkurtların Ölümü | Şen-King’in Öfkesi, tüm savaşçıları tedirgin etmişti.
Bozkurtların Ölümü | Kıraç Ata, genç savaşçılara at binmeyi öğretiyordu.
Faust | Faust'un ruhunu teslim etme karşılığında Mephisto, ona mutluluğu vaat eder.
Faust | Margaretha, Faust'la işbirliği yapar ve annesini öldürür.
Faust | Faust, Mephisto'nun teklifini kabul ederek ruhunu teslim eder.
Faust | Margaretha ve Faust'un ilişkisi, başlangıçta rüya gibi görünür.
Faust | Mephisto, Faust'u en güzel içkileri tatmakla cezbetmeye çalışır.
Faust | Margaretha, Faust'un çocuğunu boğar ve hapse atılır.
Faust | Faust, Leipzig ya da Harz bölgesinde geçer.
Faust | Faust, Goethe'nin eserlerinin birleşimi olarak kabul edilir.
Faust | Faust, hayatını yeryüzünün sırlarını çözmeye adamıştır.
Faust | Margaretha, Faust'un önerisiyle annesini öldürür.
Suç ve Ceza | İnsan yalnızca belirli bir toplum içinde yaşamakla, her hareketiyle başka insanlara bağlı bulunmakla kalmaz, ama aynı zamanda toplumu kendi içinde, kendi yüreğine taşır; ilk
Suç ve Ceza | Raskolnikov, “Teşekkür ederim,” dedi, tabağı aldı. Gözlerini yemekten ayırmadan ona bakıyordu, sonra birdenbire eski bir giysinin düğmesini sökmüş gibi göründü 
Suç ve Ceza | Raskolnikov, 'Ama ben ne yapıyorum? Bunu yapamayacağımı ben zaten biliyordum...
Suç ve Ceza | Bütün vücudu kırılıyor gibiydi. Ruhuna bir kasvet, bir kararsızlık çökmüştü.
Suç ve Ceza | Kadın gururla: — Ben fakir insanlara yardım ediyorum, –dedi.
Suç ve Ceza | Kadın sert bir şekilde başını kaldırdı, gözleri Raskolnikov’a dikildi.
Aşk-ı Memnu | Validelerinin bu küçük lisan ihtiyatı ikisinin de dikkat nazarından kaçamadı.
Aşk-ı Memnu | Peykerle Bihter manalıca bakışarak gülümsediler, hatta Peyker bu gülümsemenin ifadesini açıklamaktan çekinmiyerek: — Evet, gözlerini Bihter'den ayırmıyor, dedi.
Aşk-ı Memnu | Bu cümlenin tesirini görmek için validelerine baktılar, o, cevap vermemek için uzaklara baktı.
Aşk-ı Memnu | Firdevs Hanım, Melih Bey takımının hususî şöhretinden en ziyade hissesi olan bir çehredir ki, işte otuz seneden beri — on beş yaşından kırk beş yaşına kadar — bütün mesirelerin en mâruf hayat temasilinden biridir.
Aşk-ı Memnu | İstanbul'un seyranları takviminden ismi silinemiyen, hattâ silinemiyecek görünen, hayatından her sene geçtikçe gençliğe daha ziyade asılan bu kadın, beyazlığını saklamak için sarıya boyadığı saçlarla, taravetinin izmihâlini örtmek için düzgünlere sıvadığı simasıyla kendisini o kadar aldatmış, henüz tazeliği vehminin içine öyle bir fikir delâletiyle nefsini tevdi etmiş idi ki, Peyker'le Bihter'in yaşlarını — birinin yirmi beş, ötekinin yirmi iki senesini — unutarak onları bütün bu tebessümlerden, bu takiblerden hisse alamıyacak kadar çocuk zannederdi.
Araba Sevdası | Bihruz Bey, Çamlıca'nın en yüksek tepesinde düşüncelere dalarken manzarayı seyrediyordu.
Araba Sevdası | Periveş hanım, bahçedeki gülleri koklarken Bihruz'un ona doğru geldiğini fark etti.
Araba Sevdası | Keşfi Bey, Bihruz'a uzun süredir görmediği bir arkadaşlarından bahsetti.
Araba Sevdası | Mösyö Piyer, Bihruz Bey'e Fransa'nın kültürel etkilerini anlatırken oldukça hevesliydi.
Araba Sevdası | Bihruz'un annesi, oğlunun uzun süre evden uzak kalmasından dolayı kaygılanıyordu.
Araba Sevdası | Kısıklı'da bir sabah, Bihruz ve Keşfi kahvaltıda buluştular.
Bozkurtların Ölümü | Akın, düşman kampına gizlice sızmayı planladı.
Bozkurtların Ölümü | Şen-King’in Öfkesi, tüm savaşçıları tedirgin etmişti.
Bozkurtların Ölümü | Kıraç Ata, genç savaşçılara at binmeyi öğretiyordu.
Bozkurtların Ölümü | Yüzbaşı Bögü Alp, cesurca öne çıkarak ordusunu yönlendirdi.
Bozkurtların Ölümü | Dönüş yolculuğu, beklenmedik olaylarla doluydu.
Bozkurtların Ölümü | Bögü Alp’ın Yeni Yumuşu, klan içinde huzursuzluk yarattı.
Araba Sevdası | Bulgurlu'da bir akşam üzeri Bihruz, Periveş'i düşünerek yürüyüşe çıktı.
Araba Sevdası | Çamlıca Bahçesi'nde Periveş, Bihruz'un ona olan ilgisini gizlice memnuniyetle karşıladı.
Araba Sevdası | Bihruz Bey, annesiyle birlikte pazar alışverişine çıktığında eski bir dostla karşılaştı.
Araba Sevdası | Periveş, Bihruz'a yazdığı mektubu titrek ellerle zarfa yerleştirdi.
Aşk-ı Memnu | Bu, iki kızla valide arasında ebedî bir cenk ve istihza zemini idi ki, tamamen vuzuh ve serahat kesb edememekle beraber hemen her gün tekerrür eder; Peyker'in manalı bir kelimesi, Bihter'in insafsız bir tebessümü güya bu iki genç vücudun gençlik muzafferiyetini hâlâ genç kalmak 
Suç ve Ceza | Raskolnikov kapıya doğru ilerledi. — Gitmem lazım, –dedi. 'Gitmem lazım…' diye mırıldandı. Sonra hızla kapıyı açtı ve dışarı çıktı. 
Aşk-ı Memnu | Maun sandalla müsademeyi andıran bu tesadüflere artık o kadar alışmış idiler ki, bugün Kalenderden dönerken gene onun âdeta çarparcasına yakından sıyırıp geçişini fark 
Aşk-ı Memnu | Bihter, eğilmiyerek, dudaklarının ucile sordu: Validenizi tanır mıydınız, anne? Kız annesine çekmiş olmalı...
Aşk-ı Memnu | Firdevs Hanım Bihter'in sualini anlamamışçasına donuk gözlerle bir saniye baktı, sonra başını çevirerek artık gözden kaybolan sandalı araştırdı; tekrar Bihter'e bakarak
Aşk-ı Memnu | Peykerle Bihter manalıca bakışarak gülümsediler, hatta Peyker bu gülümsemenin ifadesini açıklamaktan çekinerek: — Evet, gözlerini Bihter'den ayırmıyor, dedi.
Aşk-ı Memnu | Firdevs Hanım, Melih Bey takımının hususî şöhretinden en ziyade hissesi olan bir çehredir ki, işte otuz seneden beri
Aşk-ı Memnu | Beyaz sandalın şık, zarif süvarilerinde küçük bir telaş eseri, bir ufak haşyet sayhası bile uyandıramıyarak geçen maun sandala — her iki tarafı görebilmek üzere Peyker
Aşk-ı Memnu | Validesinin şikâyet şekli altında gizli bir memnuniyeti kâfi derecede saklıyamıyan sözlerini Bihter cevapsız bıraktı.
Aşk-ı Memnu | Peyker validesine doğrudan doğruya cevap vermeyerek: — Bugün çocukları da yanında değil... dedi, 
Aşk-ı Memnu | Firdevs Hanım, Melih Bey takımının hususî şöhretinden en ziyade hissesi olan bir çehredir ki, işte otuz seneden beri
Aşk-ı Memnu | Firdevs Hanım, Melih Bey takımının hususî şöhretinden en ziyade hissesi olan bir çehredir ki, işte otuz seneden beri
Aşk-ı Memnu | Firdevs Hanım, Melih Bey takımının hususî şöhretinden en ziyade hissesi olan bir çehredir ki, işte otuz seneden beri
Aşk-ı Memnu | Peyker validesine doğrudan doğruya cevap vermeyerek: — Bugün çocukları da yanında değil... dedi, 
Aşk-ı Memnu | Peyker validesine doğrudan doğruya cevap vermeyerek: — Bugün çocukları da yanında değil... dedi, 
Bozkurtların Ölümü | Bögü Alp’ın Yeni Yumuşu, klan içinde huzursuzluk yarattı.
Bozkurtların Ölümü | Yumru, sert mizacıyla tanınıyordu.
Bozkurtların Ölümü | Elçiler, kritik bir görev için hazırlandı.
Bozkurtların Ölümü | Yolda, pek çok zorlukla karşılaşıldı.
Bozkurtların Ölümü | Batı Kağanı, ittifak teklif etti.
Bozkurtların Ölümü | Tüng Yabgu’nun Çerileriyle Karışlaşma, büyük bir çatışmayı tetikledi.
Bozkurtların Ölümü | Yamtar’ın Tartışması, kabile içinde bölünmelere neden oldu.
Bozkurtların Ölümü | Ötüken Yolunda, eski düşmanlarla karşılaşıldı.
Aşk-ı Memnu | Peyker validesine doğrudan doğruya cevap vermeyerek: — Bugün çocukları da yanında değil... dedi, 
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
Aşk-ı Memnu | Peyker Peyker PEYKER Firdevs Bihter Behlül Behlül Behlül Adnan
