Suç ve Ceza | Roman, baþkahramaný Raskolnikov’un iç çatýþmalarýný ve etrafýndaki dünya ile olan çatýþmalarýný anlatýr.
Suç ve Ceza | Raskolnikov, çaresiz bir durumda olup, düþük bir sýnýfta yaþamaktadýr ve acýmasýz bir dedektifin peþine düþmüþtür.
Suç ve Ceza | Roman, Raskolnikov'un suçunu iþledikten sonra yaþadýðý vicdan azabý ve piþmanlýðýný detaylý bir þekilde anlatýr.
Suç ve Ceza | Daha sonra Suç ve Ceza’da en parlak biçimde dile hayatýn trajik yanlarýna karþý duyduðu büyük ilgi ve duyarlýlýk, daha bu ilk yapýtlarýnda kendini göstermeye baþlamýþtýr.
Suç ve Ceza | Prestuplenie i Nakazanie (Suç ve Ceza), Igrok (Kumarbaz), Idiot (Budala), Besi (Cinler), Podrostok (Delikanlý), Bratya Karamazovi (Karamazov Kardeþler) vd.
Suç ve Ceza | Suç ve Ceza, 1866 yýlýnda yayýmlandý. Çok önemli toplumsal olaylarýn, moral sarsýntýlarýn yaþandýðý bir dönemdir bu. Romanýn konusu çaðdaþ Rusya’dýr.
Suç ve Ceza | Romanýn konusu çaðdaþ Rusya’dýr. Kahraman çaðdaþtýr, o yýllarýn bütün acýlarýný, yaralarýný içinde taþýyan genç bir öðrencidir.
Araba Sevdasý | Bulgurlu'da esen rüzgar, Bihruz'un Periveþ'e olan hislerini daha da kuvvetlendirdi.
Araba Sevdasý | Keþfi Bey, Bihruz'un iþ teklifini deðerlendirirken oldukça dikkatliydi.
Araba Sevdasý | Çamlýca'da Periveþ, Bihruz'a karþý hislerini saklayamýyordu.
Bozkurtlarýn Ölümü | Kineþ, kabile meclisinde konuþma yaptý.
Bozkurtlarýn Ölümü | Yargu, adaleti saðlamak için zor kararlar aldý.
Bozkurtlarýn Ölümü | Çalýk, atlarýný sularken düþüncelere dalmýþtý.
Bozkurtlarýn Ölümü | Çalýk Ýþ Ardýnda, kervanýn güvenliðini saðlamakla görevlendirilmiþti.
Bozkurtlarýn Ölümü | Onbaþý Pars, düþman izlerini takip ediyordu.
Araba Sevdasý | Kýsýklý parkýnda Bihruz, Keþfi ile derin bir sohbete dalmýþtý.
Araba Sevdasý | Mösyö Piyer, Bihruz'un dil öðrenme sürecinden memnun kalmýþ bir þekilde dersi sonlandýrdý.
Suç ve Ceza | Dostoyevski 1865 yýlýnda M.N. Katkov’a yazdýðý bir mektupta bu durumu “…olaylar günümüzde geçiyor, yani þu bulunduðumuz yýl içinde” diyerek belirtmektedir.
